,ip,port,place
0,1.224.3.122,3888,海南省
1,60.188.5.211,80,贵州省安顺市
2,8.210.37.63,59394,云南省玉溪市
3,5.189.140.235,8118,福建省泉州市
4,121.37.199.23,30001,江苏省徐州市
5,39.107.33.254,8090,西藏自治区昌都地区
6,60.188.5.152,80,辽宁省鞍山市
7,8.130.36.245,8080,内蒙古自治区通辽市
8,123.57.1.16,8029,天津市市辖区
9,47.92.247.250,10000,陕西省宝鸡市
10,124.70.205.56,20000,安徽省马鞍山市
11,49.0.199.132,3128,浙江省宁波市
12,41.65.227.118,1976,广东省深圳市
13,103.216.50.225,8080,辽宁省本溪市
14,116.63.130.30,443,内蒙古自治区包头市
15,120.79.31.133,20002,湖南省长沙市
16,115.29.151.41,50001,辽宁省沈阳市
17,115.29.149.2,8003,山东省淄博市
18,117.71.154.249,8089,青海省西宁市
19,31.7.38.227,8080,河北省唐山市
20,5.61.35.147,8118,湖南省株洲市
21,144.76.42.215,8118,内蒙古自治区包头市
22,140.210.196.193,8999,湖北省十堰市
23,120.46.197.14,8083,北京市
24,101.132.25.152,999,陕西省咸阳市
25,124.70.55.29,8089,江苏省苏州市
26,95.67.79.254,8080,陕西省渭南市
27,39.173.102.18,80,黑龙江省鸡西市
28,45.136.50.113,3128,江苏省徐州市
29,61.160.223.141,7302,重庆市
30,203.30.188.153,80,贵州省安顺市
31,213.145.149.189,80,四川省攀枝花市
32,185.196.189.254,3199,云南省昭通市
33,164.132.50.189,80,湖南省株洲市
34,195.200.210.239,3199,上海市上海周边
35,113.143.37.82,9002,广东省珠海市
36,45.152.208.24,8055,江西省新余市
37,67.205.158.52,80,北京市
38,47.51.51.190,8080,贵州省遵义市
39,140.227.199.207,3128,湖南省衡阳市
40,36.37.120.237,80,黑龙江省双鸭山市
41,68.183.104.99,80,宁夏回族自治区石嘴山市
42,111.20.217.178,9091,四川省德阳市
43,60.188.5.150,80,浙江省温州市
44,78.46.21.80,8080,吉林省辽源市
45,102.132.48.16,8080,浙江省温州市
46,54.80.94.26,80,江苏省徐州市
47,68.183.51.120,80,辽宁省鞍山市
48,8.134.140.146,9999,陕西省渭南市
49,194.233.82.89,80,辽宁省沈阳市
50,223.84.240.36,9091,四川省德阳市
51,60.188.5.224,80,云南省曲靖市
52,35.240.156.235,8080,浙江省湖州市
53,206.189.156.61,80,山东省枣庄市
54,185.245.81.151,12444,北京市
55,134.175.113.90,808,内蒙古自治区乌海市
56,8.134.139.219,8080,黑龙江省哈尔滨市
57,34.102.180.81,80,广东省广州市
58,82.223.16.105,8080,河南省开封市
59,93.118.109.93,8080,安徽省淮南市
60,206.189.30.235,80,内蒙古自治区赤峰市
61,104.26.12.49,80,湖北省十堰市
62,185.195.105.112,12333,四川省泸州市
63,46.188.84.67,81,辽宁省本溪市
64,60.188.5.196,80,甘肃省兰州市
65,45.133.168.80,8080,海南省
66,91.210.26.173,58080,湖北省武汉市
67,203.23.103.241,80,山西省大同市
68,78.25.120.143,3128,甘肃省金昌市
69,203.13.32.203,80,北京市
70,82.69.16.184,80,内蒙古自治区包头市
71,67.205.134.165,80,浙江省温州市
72,199.60.103.31,80,江苏省常州市
73,121.156.109.108,8080,安徽省蚌埠市
74,206.189.193.196,80,海南省三亚市
75,114.80.179.226,80,上海市市辖区
76,54.165.2.226,80,辽宁省鞍山市
77,68.183.140.210,80,陕西省渭南市
78,104.16.155.36,80,甘肃省兰州市
79,185.195.107.46,23445,河南省郑州市
80,192.124.200.33,8080,重庆市市辖区
81,185.198.190.164,12444,上海市市辖区
82,213.252.245.221,8556,山西省阳泉市
83,68.183.109.120,80,上海市市辖区
84,45.12.30.112,80,河北省邢台市
85,207.223.244.28,80,辽宁省大连市
86,212.108.145.195,9090,北京市
87,212.109.198.128,3128,重庆市市
88,206.81.6.64,80,福建省三明市
89,49.71.119.177,8089,贵州省铜仁地区
90,60.188.5.148,80,吉林省吉林市
91,185.195.106.156,23445,西藏自治区日喀则地区
92,142.93.178.234,80,北京市市辖区
93,213.230.126.26,3128,天津市
94,216.249.103.13,80,黑龙江省哈尔滨市
95,31.43.179.91,80,山东省淄博市
96,165.227.195.175,80,云南省昭通市
97,112.51.96.118,9091,河南省开封市
98,8.219.125.46,80,甘肃省兰州市
99,45.79.148.29,80,黑龙江省鹤岗市
100,178.33.26.119,80,云南省昭通市
101,35.154.18.192,80,新疆维吾尔自治区克拉玛依市
102,104.193.88.77,80,吉林省辽源市
103,165.232.68.7,80,江苏省无锡市
104,183.164.242.157,8089,贵州省安顺市
105,142.93.160.206,80,云南省保山市
106,211.32.117.72,80,甘肃省金昌市
107,161.35.115.112,80,湖北省宜昌市
108,206.189.161.123,80,黑龙江省鹤岗市
109,185.174.111.133,41002,天津市
110,185.162.229.104,80,广西壮族自治区桂林市
111,213.52.102.35,80,安徽省芜湖市
112,183.232.231.239,80,湖南省株洲市
113,172.105.252.67,80,青海省海北藏族自治州
114,206.189.169.229,80,宁夏回族自治区银川市
115,138.197.176.201,80,浙江省嘉兴市
116,142.93.102.122,80,山西省阳泉市
117,54.202.70.219,3128,上海市市辖区
118,61.111.38.5,80,青海省海东地区
119,51.77.222.51,80,福建省厦门市
120,45.133.168.61,8080,西藏自治区昌都地区
121,104.248.173.5,80,内蒙古自治区呼和浩特市
122,199.168.122.217,3199,天津市
123,140.114.245.147,8080,河南省平顶山市
124,142.93.149.152,80,新疆维吾尔自治区乌鲁木齐市
125,45.133.168.112,8080,福建省三明市
126,185.174.109.183,41002,天津市
127,213.135.235.227,80,四川省攀枝花市
128,45.12.30.76,80,西藏自治区日喀则地区
129,103.139.47.114,8182,天津市
130,120.55.49.231,1234,青海省黄南藏族自治州
131,52.13.171.28,80,云南省玉溪市
132,80.65.28.57,30962,云南省昭通市
133,203.23.104.62,80,江苏省常州市
134,172.67.181.107,80,云南省昆明市
135,47.252.1.180,3128,内蒙古自治区赤峰市
136,8.45.176.194,80,黑龙江省双鸭山市
137,158.69.53.132,9300,安徽省芜湖市
138,65.109.84.104,80,四川省攀枝花市
139,206.189.45.191,80,宁夏回族自治区吴忠市
140,157.245.141.24,80,上海市
141,47.100.254.82,80,北京市
142,165.227.42.203,80,湖北省十堰市
143,12.186.206.83,80,广西壮族自治区梧州市
144,45.12.30.123,80,陕西省咸阳市
145,185.195.104.246,12333,云南省保山市
146,42.63.65.38,80,河南省郑州市
147,154.7.6.97,80,吉林省长春市
148,42.63.65.11,80,河南省洛阳市
149,162.159.244.202,80,内蒙古自治区赤峰市
150,144.172.82.42,3199,黑龙江省齐齐哈尔市
151,185.174.111.67,41002,重庆市重庆周边
152,23.227.38.15,80,黑龙江省鸡西市
153,104.20.113.188,80,江苏省南京市
154,47.109.46.223,5678,内蒙古自治区乌海市
155,60.188.5.175,80,北京市市辖区
